"Sp","Betacov","R.Alb","R.Dal1","R.Far1","R.Po2","R.Po3","Rank","PropRank","InSample"
"Glossophaga longirostris",0,0.181839847473785,0.176760563380282,0.730985915492958,NA,NA,469.166666666667,0.363195442115675,1
"Miniopterus inflatus",0,0.150381315538608,0.597183098591549,0.342253521126761,NA,NA,432.666666666667,0.363272645085639,1
"Myotis macropus",0,0.0835319351763584,0.452112676056338,0.556338028169014,NA,NA,355.5,0.363994213133904,1
"Hypsignathus monstrosus",0,0.0177550047664442,0.885915492957747,0.195774647887324,NA,NA,280.833333333333,0.366481715203838,1
"Nyctalus plancyi",0,0.0177550047664442,0.452112676056338,0.630985915492958,NA,NA,281.166666666667,0.366951198771913,1
"Pipistrellus coromandra",0,0.00452812202097235,0.452112676056338,0.646478873239437,NA,NA,266.333333333333,0.367706557105582,1
"Cephalophus dorsalis",0,0.32650142993327,0.503521126760563,0.273239436619718,NA,NA,640.5,0.367753997771184,1
"Mastomys erythroleucus",0,0.271091515729266,0.414084507042254,0.42112676056338,NA,NA,576.833333333333,0.368767594444967,1
"Cynopterus horsfieldii",1,0.0200190657769304,0.566197183098592,0.526760563380282,NA,NA,286.666666666667,0.370992270751935,1
"Bison bison",0,0.626787416587226,0.4,0.0873239436619718,NA,NA,992,0.371370453416399,1
"Redunca arundinum",0,0.305648236415634,0.692957746478873,0.116901408450704,NA,NA,619.166666666667,0.37183579711507,1
"Dyacopterus spadiceus",1,0.0426596758817922,0.566197183098592,0.507042253521127,NA,NA,313.666666666667,0.371966370833837,1
"Cephalophus leucogaster",0,0.372020972354623,0.503521126760563,0.240845070422535,NA,NA,696.5,0.372129056512574,1
"Dobsonia moluccensis",1,0.130958055290753,0.630985915492958,0.354929577464789,NA,NA,416.5,0.3722911827495,1
"Vandeleuria oleracea",0,0.236296472831268,0.35,0.532394366197183,NA,NA,539.333333333333,0.372896946342817,1
"Peromyscus maniculatus",0,0.677669208770257,0.287323943661972,0.154929577464789,NA,NA,1052.5,0.373307576632339,1
"Marmota monax",0,0.92278360343184,0.102816901408451,0.0957746478873239,NA,NA,1337.66666666667,0.373791717575871,1
"Chrotopterus auritus",0,0.196973307912297,0.176760563380282,0.749295774647887,NA,NA,494.666666666667,0.374343215313489,1
