"Sp","Betacov","R.Alb","R.Car3","R.Gut1","R.Stock1","P.Alb","P.Car3","P.Gut1","P.Stock1","InSample","Rank","PropRank"
"Eptesicus matroka",0,0.297533401849949,0.515232974910394,0.521505376344086,0.613851992409867,0.19025,0.120236597732581,0.387579093016727,0.171333379317538,0,523.375,0.487030936378574
"Kerivoula argentata",0,0.170606372045221,0.3915770609319,0.597670250896057,0.791271347248577,0.214166666666667,0.180291960328805,0.31247925124235,0.116544176282627,0,526,0.487781257780439
"Hipposideros orbiculus",0,NA,0.439964157706093,0.53584229390681,NA,NA,0.152466853111641,0.375445368265794,NA,0,544.5,0.487903225806452
"Pteropus keyensis",0,0.353545734840699,0.560931899641577,0.810035842293907,0.231499051233397,0.184833333333333,0.0934297704624443,0.136375973287119,0.323636497200783,0,529.5,0.489003132002395
"Nycteris parisii",0,0.936793422404933,0.432795698924731,0.420250896057348,0.173624288425047,0.118666666666667,0.156882363731346,0.482517471302002,0.358664782305891,0,511.625,0.490866076453015
"Murina ussuriensis",0,0.535971223021583,0.506272401433692,0.520609318996416,0.40607210626186,0.17375,0.125807285431533,0.388051588913968,0.235814630909892,0,523.875,0.492231262428387
"Rhinolophus ruwenzorii",0,0.605858170606372,0.597670250896057,0.675627240143369,0.094876660341556,0.168666666666667,0.0812521667440994,0.231907967080995,0.414950913333116,0,527.625,0.493508080496839
"Pipistrellus adamsi",0,0.345323741007194,0.667562724014337,0.560035842293907,0.401328273244782,0.185416666666667,0.0668797504595239,0.346626293240954,0.23817895062372,0,532.25,0.493562645140055
"Nyctophilus geoffroyi",0,0.39825282631038,0.484767025089606,0.491935483870968,0.599620493358634,0.181333333333333,0.135424042217908,0.399517564622284,0.175953993943088,0,527.375,0.493643957157397
"Hipposideros doriae",0,0.463514902363823,0.521505376344086,0.691756272401434,0.299810246679317,0.177333333333333,0.11598294933374,0.217500641176776,0.280389687067116,0,530.25,0.494146699447165
"Hipposideros curtus",0,0.690133607399794,0.478494623655914,0.542114695340502,0.266603415559772,0.145666666666667,0.137294786337732,0.368852151705042,0.300767483880366,0,522.875,0.494336585488996
"Nyctophilus arnhemensis",0,0.544193216855087,0.458781362007168,0.353942652329749,0.621442125237192,0.17325,0.14466078516296,0.551934345972887,0.168036273656714,0,522.875,0.494589839107299
"Miniopterus gleni",0,NA,0.544802867383513,0.446236559139785,NA,NA,0.102747550253362,0.45714642077802,NA,0,553,0.495519713261649
"Scotophilus robustus",0,0.391572456320658,0.533154121863799,0.326164874551971,0.731499051233397,0.181666666666667,0.111411735199244,0.591053879536797,0.136351501003386,0,527.75,0.495597625992456
"Neoromicia flavescens",0,0.564234326824255,0.414874551971326,0.586917562724014,0.422201138519924,0.17175,0.165486326245693,0.325387063886082,0.229067955133954,0,528,0.49705689500988
"Pteropus faunulus",0,NA,0.293906810035842,0.636200716845878,0.563567362428843,NA,0.26479036845973,0.266904887570518,0.187240828120417,0,544,0.497891629770188
"Kerivoula lenis",0,0.191675231243577,0.650537634408602,0.504480286738351,0.652751423149905,0.20925,0.0689979390459354,0.394618770570459,0.160063076242673,0,540.875,0.499861143885109
